Team,Shotspg,Poss,PassSucc
Arsenal,15.1,56.9,84.2
Leicester,13.7,44.8,70.5
Tottenham,17.3,55.3,80.5
Man City,16.2,55.2,83.1
West Ham,14.7,49.1,77.6
Southampton,13.7,49.3,77.7
Liverpool,16.6,55,80.2
Everton,12.9,51.5,81.4
Chelsea,13.8,54.4,82.5
Man Utd,11.3,55.9,82.3
Watford,11.7,46.3,72.6
Crystal Palace,12.3,46.8,74.4
Sunderland,11.6,43.3,71
Swansea,11.6,52,80.9
Stoke,11,50,79.1
Newcastle,10.4,47.4,76.6
Wba,10.2,42.2,70
Bournemouth,12.2,51,79.8
Aston Villa,10,47.3,77.8
Norwich,11,46.5,73.6
