Team,xGF,xGA,xGD,Fpasses,Interceptions,Bpasses,Tpasses
Arsenal,69.26,38.09,31.17,13063,739,2946,17381
Aston Villa,28.7,57.61,-28.91,9398,766,2269,11493
Bournemouth,39.57,50.5,-10.93,10562,641,2541,13303
Chelsea,51.26,49.67,1.59,12164,517,2933,15736
Crystal Palace,42.91,47.05,-4.14,8693,698,2185,9876
Everton,52.83,54.98,-2.15,10903,510,2699,14081
Leicester,59.67,44.97,14.7,8740,820,1970,9137
Liverpool,57.08,41.06,16.02,12525,549,2842,15337
Man City,66.3,37,29.3,12690,630,2895,16598
Man Utd,44.04,37.7,6.34,12009,591,3221,16049
Newcastle,43.51,54.38,-10.87,9304,646,2357,11129
Norwich,33.98,55.48,-21.5,9098,472,2124,10314
Southampton,54.5,42.56,11.94,10053,706,2385,11927
Stoke,39.79,53.08,-13.29,10048,577,2440,12486
Sunderland,41.74,64.91,-23.17,8192,567,1841,8709
Swansea,39.55,51.22,-11.67,11090,678,2796,14162
Tottenham,68.46,36.66,31.8,11540,646,2708,14540
Watford,40.12,52.77,-12.65,9040,766,2164,10123
Wba,35.98,44.76,-8.78,7800,723,1638,8233
West Ham,57.59,52.37,5.22,9274,667,2236,11174
